job Title,Programming language skills,framework skills,Experience,full time,Min Salary,Max salary
Full Stack Dot Net Developer, c# SQL HTML CSS JavaScript,ASP.NetMVC Bootstrap Angular,1,T,4500,6000
Dot Net Developer,C# SQL HTML CSS JavaScript,ASP.NETMVC Bootstrap ,1,T,3500,5000
Full Stack PHP Developer,PHP MySQL  HTML CSS  Javascript ,Laravel Bootsrrap CodeIgniter Zend,5,T,10000,12000
PHP Developer,PHP MySQL HTML5 CSS3 JavaScript ,MVC Laravel  CodeIgniter JQuery,3,T,5000,8000
Dot Net Developer,C# HTML CSS JS ,ASP.NETMVC Bootstrap JQuery,1,T,2000,3000
Full Stack Dot Net Developer,C# MSSQL NOSQL HTML5 CSS3 JavaScript AJAX AZURE Micro Services Share Point,ASP.NET MVC.NET Core SignalR JQuery Bootstrap,4,T,10000,13000
Web Developer ,C# MSSQL HTML CSS JavaScript JQuery ,ASP.NETMVC .NET CoreMVC  EntityFramework Bootstrap,3,T,8000,10000
Android Developer,Java Kotlin ,Android,3,T,6000,8000
Andriod Developer,Java Kotlin,Android  ,2,T,4000,6000
IOS developers,Swift iOS  Objectivec, Core Location Core Data ,3,T,8000,10000
IOS Developer,Swift Objectivec,Core Location Core Data  ,1,T,5000,7000
Web Developer ,Python JavaScript CSS MySQL HTML,Django Flask Boostrap,4,T,9000,13000
Android developer,C# HTML CSS,Xamarin ,3,T,7000,8000
PHP Developer,PHP MYSQL HTML5 CSS3 ,Laravel  BootStrap ,1,T,2000,3000
Cross Platform,Dart ,Flutter  ,2,T,6000,9000
Cross Platform,Dart java Objective-C,Flutter,3,T,9000,11000
IOS Developer,Swift/Objective-c,Ios ,1,T,3000,5000
Front End,HTML HTML5 CSS CSS3 JavaScript ES6 Typescript AJAX ,Angular 6+  AngularJS Bootstrap  React JS,5,T,10000,12000
Front End,HTML HTML5 CSS CSS3 JavaScript ,Angular 2+ Bootstrap ,2,T,4000,6000
Dot Net Developer,C# HTML CSS JavaScript Jquery ,ASP.NET MVC  Bootstrap 3 Entity framework ,2,T,6000,7500
Full Stack Dot Net Developer,"C# HTML CSS JavaScript Jquery ES5,6 TS",Angular 4+ Bootstrap EntityFramework ,2,T,7000,8000
Web Developer ,Python JavaScript HTML CSS MYSQL,Giotto AngularJS,1,T,2500,3500
Web Developer ,Python JavaScript HTML CSS MYSQL,Growler Bootstrap Angular4+,1,T,3000,4000
Web Developer ,Python JavaScript HTML CSS MYSQL,Flask Bootstrap3 Angular6+,1,T,3500,4000
Web Developer ,Python JavaScript HTML CSS MYSQL,Django Bootstrap4 Angular2+,1,T,3500,4000
Web Developer ,Python JavaScript HTML CSS MYSQL,Django Bootstrap ,2,F,3500,4500
Web Developer ,Python JavaScript  HTML CSS MYSQL,Dash ReactJS,2,F,3500,4500
Web Developer ,Python JavaScript  HTML CSS MYSQL,Django Bootstrap ,2,F,3500,4000
Desktop Developer,Python MYSQL ,Qt,1,T,2500,3500
